term_id,preferred_label,definition,source_ontology,dominant_physical_phase,is_water_based,concert_unit_route,review_status
AMH:0000021,suspended solids,Solid particles retained as the analyzed fraction of a suspension.,AMH,solid,FALSE,solid,reviewed
AMH:0000022,particulate matter,Particulate material analyzed as a solid fraction.,AMH,solid,FALSE,solid,reviewed
AMH:0000023,clean air,Air described as clean or contaminant-free by the source method.,AMH,gas,FALSE,air,reviewed
AMH:0000024,vapor,A gas-phase analytical matrix reported as vapor.,AMH,gas,FALSE,air,reviewed
AMH:0000025,aerosol,An aerosol analyzed through a gas-route compatibility workflow.,AMH,gas,FALSE,air,reviewed
AMH:0000026,solid analytical matrix,A source matrix reported only as solid without further material identity.,AMH,solid,FALSE,solid,reviewed
AMH:0000027,vehicle,A formulation vehicle reported as the analytical matrix.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000028,biological fluid,A water-based fluid derived from an organism and used as an analytical matrix.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000029,lake water,Fresh water collected from a lake.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000030,oil,An oil reported without enough evidence for a more specific material term.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000031,tissue,Animal or plant tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000032,food,Food or feed material used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000033,indoor air,Air within an enclosed building or structure used as an analytical matrix.,AMH,gas,FALSE,air,reviewed
AMH:0000034,urine,Urine used as an analytical matrix.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000035,liver,Liver tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000036,kidney,Kidney tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000037,muscle,Muscle tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000038,fuel,A refined petroleum or biofuel liquid used as an analytical matrix.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000039,adipose tissue,Fat tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000040,brain,Brain tissue used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000041,feces,Fecal material used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000042,polymeric material,A polymer or plastic material used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000043,cannabis,Cannabis plant material used as an analytical matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000044,textile,A textile or fabric product analyzed for its chemical content.,AMH,solid,FALSE,solid,reviewed
AMH:0000049,analytical matrix,A material or organism analyzed by an AMOS method.,AMH,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000050,body-derived material,A whole organism or material derived from an organism and analyzed by an AMOS method.,AMH,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,reviewed
ENVO:00000003,mine tailing,Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00000134,permafrost,An environmental material which is 1) composed primarily of soil or rock and included ice or organic material and 2) at or below the freezing point of water for two or more years.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00000194,scree,"Broken rock that appears at the bottom of crags, mountain cliffs or valley shoulders.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00000338,vomit material,"A bodily fluid material which is composed primarily of vomit, a bodily fluid consisting of the expulsed contents of the stomach of an organism disgorged through the mouth or nose.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00000546,lake sediment,"Lake sediment is sediment which covers the bottom of a lake. Lake sediments are comprised mainly of clastic material (sediment of clay, silt, and sand sizes), organic debris, chemical precipitates, or combinations of these.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00001995,rock,A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00001998,soil,"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.",ENVO,solid,FALSE,solid,upstream
ENVO:00002001,waste water,Water that has been adversely affected in quality by anthropogenic influence.,ENVO,liquid,TRUE,aqueous,upstream
ENVO:00002003,fecal material,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002005,air,"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.",ENVO,gas,FALSE,air,upstream
ENVO:00002006,liquid water,An environmental material primarily composed of dihydrogen oxide in its liquid form.,ENVO,liquid,TRUE,aqueous,upstream
ENVO:00002007,sediment,Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.,ENVO,solid,FALSE,solid,upstream
ENVO:00002008,dust,Particulate environmental material with diameters less than 500 micrometers.,ENVO,solid,FALSE,solid,upstream
ENVO:00002010,saline water,Water which contains a significant concentration of dissolved salts.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002011,fresh water,"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.",ENVO,liquid,TRUE,aqueous,upstream
ENVO:00002012,hypersaline water,"Water which contains a highly increased concentration of dissolved salts, surpassing the average salinity of seawater.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002013,igneous rock,Rock formed from molten magma.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002014,plutonic rock,An igneous rock that results from the crystallization of a magma below the surface of the Earth.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002015,volcanic rock,An igneous rock that results from magma reaching the surface either as lava or fragmental ejecta.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002016,sedimentary rock,"A rock formed by deposition of either clastic sediments, organic matter, or chemical precipitates (evaporites), followed by compaction of the particulate matter and cementation during diagenesis.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002017,metamorphic rock,A rock formed by subjecting any rock type (including previously-formed metamorphic rock) to different temperature and pressure conditions than those in which the original rock was formed. These temperatures and pressures are always higher than those at the Earth's surface and must be sufficiently high so as to change the original minerals into other mineral types or else into other forms of the same minerals (e.g. by recrystallisation).,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002018,sewage,"Wastewater that is contaminated with feces or urine,",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002019,brackish water,Water which has a higher salinity than fresh water but a lower salinity than marine water.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002040,wood,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002042,surface water,Water that is found on the surface of an astronomical object.,ENVO,liquid,TRUE,aqueous,upstream
ENVO:00002044,sludge,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",ENVO,solid,FALSE,solid,upstream
ENVO:00002045,anaerobic sediment,Sediment characterised by the absence of oxygen.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002046,activated sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002047,urine material,"An excreta material which is composed primarily of urine, a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002053,limestone,A sedimentary rock which is composed primarily of calcium carbonate in the form of calcite or aragnoite.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002054,chalk,"Limestone which is soft, white, and porous.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002055,sandstone,A sedimentary rock composed mainly of sand-size mineral or rock grains.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002056,shale,"A fine-grained sedimentary rock whose original constituents were clays or muds. It is characterized by thin laminae breaking with an irregular curving fracture, often splintery and usually parallel to the often-indistinguishable bedding plane.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002057,raw primary sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002058,secondary sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002059,biosolids,"A treated form of sludge, sometimes used as a fertilizer in agriculture.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002060,oil sludge,"A solid or gel in motor oil caused by the oil gelling or solidifying, usually at temperatures lower than 100deg C.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002113,deep marine sediment,"Sediment that accumulates in the flat or very gently sloping areas of the deep ocean basin floor. The three main types of deep marine sediment, also known as pelagic sediment, are siliceous oozes, calcareous oozes, and red clays.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002114,chemically enriched sediment,Sediment which has increased levels of one or more chemical compounds.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002115,petroleum enriched sediment,Organically enriched sediment which has increased levels of petroleum.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002116,contaminated soil,A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002117,creosote contaminated soil,Soil which has elevated concentrations of creosote.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002118,sea sand,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002122,arsenic-rich mud,Mud which has elevated concentrations of arsenic.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002127,stream sediment,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002129,anaerobic sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002133,anaerobic mud,Mud which has no or neglible concentrations of dissolved oxygen.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002134,anaerobic stream sediment,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002135,treated wood,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002136,arsenate treated wood,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002138,beach sand,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002141,leachate,"The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002142,borax leachate,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002145,chromate contaminated soil,Soil which has elevated concentrations of chromate.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002146,xylene contaminated soil,Soil which has elevated concentrations of xylene.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002147,coal mine lake sediment,Coal mine lake sediment is lake sediment which covers the bottom of a coal mine lake.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002148,coarse beach sand,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002149,sea water,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO,liquid,TRUE,aqueous,upstream
ENVO:00002150,coastal sea water,Coastal sea water is sea water that is adjacent to a coast.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002154,radioactive sediment,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002155,high-level radioactive sediment,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002158,ditch water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002159,drilling bore water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002160,estuarine mud,Mud which is part of an estuary.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002164,fossil material,A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002170,compost,Manure which has been derived from the aerobically decomposed remnants of organic materials.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002171,hay compost,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002176,contaminated sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002177,"1,4-dioxane contaminated sludge",__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002179,intertidal sediment,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002180,naphthalene enriched sediment,Organically enriched sediment which has increased levels of naphthalene.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002182,nitrobenzene enriched sediment,Organically enriched sediment which has increased levels of nitrobenzene.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002186,contaminated water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002191,animal litter,Straw or other material strewn in an animal's enclosure (e.g. a stable) for it to sleep on and to absorb its faeces and urine.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002192,poultry litter,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002193,pulp-bleaching waste water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002194,oil field production water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002200,sea ice,Water ice which has formed by the freezing of sea water.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002201,cis-dichloroethane contaminated sediment,Organically enriched sediment which has increased levels of cis-dichloroethane.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002202,organically enriched sediment,Chemically-enriched sediment which has increased levels of organic compounds.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002203,inorganically enriched sediment,Chemically-enriched sediment which has increased levels of inorganic compounds.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002206,coal mine waste material,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002207,self-heating coal mine waste material,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002209,saline lake sediment,Saline lake sediment is sediment which covers the bottom of a saline lake.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002212,thermophilic granular sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002223,oligotrophic water,Water which has very low concentrations of nutrients.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002224,eutrophic water,Water with a high nutrient level.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002225,mesotrophic water,Water with a nutrient level intermediate between eutrophic and oligotrophic.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002228,pond water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002229,arenosol,"Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002230,anthrosol,"Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002231,alisol,"Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002232,andosol,"Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002233,albeluvisol,"Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002234,acrisol,Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002235,cambisol,"Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002236,cryosol,"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002237,chernozem,Chernozems are soils with a thick black surface layer that is rich in organic matter.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002238,durisol,"Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002239,calcisol,Calcisols are soils in which there is substantial secondary accumulation of lime. Calcisols are common in highly calcareous parent materials and widespread in arid and semi-arid environments.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002240,kastanozem,"Kastanozems are dry grassland soils, among them the zonal soils of the short-grass steppe belt, south of the Eurasian tall-grass steppe belt with Chernozems. Kastanozems have a similar profile to that of Chernozems but the humus-rich surface horizon is thinner and not as dark as that of the Chernozems and they show more prominent accumulation of secondary carbonates.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002241,leptosol,Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002242,lixisol,Lixisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Lixisols have a high base saturation and low-activity clays at certain depths.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002243,histosol,"Histosols comprise soils formed in organic material. These vary from soils developed in predominantly moss peat in boreal, arctic and subarctic regions, via moss peat, reeds/ sedge peat (fen) and forest peat in temperate regions to mangrove peat and swamp forest peat in the humid tropics. Histosols are found at all altitudes, but the vast majority occurs in lowlands.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002244,gleysol,"Gleysols are wetland soils that, unless drained, are saturated with groundwater for long enough periods to develop a characteristic gleyic colour pattern. This pattern is essentially made up of reddish, brownish or yellowish colours at ped surfaces and/or in the upper soil layer or layers, in combination with greyish/bluish colours inside the peds and/or deeper in the soil.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002245,gypsisol,Gypsisols are soils with substantial secondary accumulation of gypsum (calcium sulfate). These soils are found in the driest parts of the arid climate zone.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002246,ferralsol,"Ferralsols represent the classical, deeply weathered, red or yellow soils of the humid tropics. These soils have diffuse horizon boundaries, a clay assemblage dominated by low-activity clays (mainly kaolinite) and a high content of sesquioxides.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00002247,nitisol,"Nitisols are deep, well-drained, red, tropical soils with diffuse horizon boundaries and a subsurface horizon with more than 30 percent clay and moderate to strong angular blocky structure elements that easily fall apart into characteristic shiny, polyhedric (nutty) elements. Weathering is relatively advanced but Nitisols are far more productive than most other red, tropical soils.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
