term,canonical_media,canonical_term,term_id,parent_id,preferred_label,rank,definition,envo_id,physical_phase,physical_state,is_water_based,concert_unit_route,media_category,source,assertion_mode,confidence_tier,confidence,active
butter,butter,butter,FOODON:03310351,FOODON:00001772,butter,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cabbage,cabbage,cabbage,FOODON:00003406,FOODON:00001677,cabbage head,canonical,A rosette of a cabbage plant (Brassica oleracea var. capitata).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
candy,candy,candy,FOODON:03301051,FOODON:00001214,candy,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cannabis,cannabis,cannabis,AMH:0000043,ENVO:00010483,cannabis,canonical,Cannabis plant material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cannabis flower,cannabis,cannabis,AMH:0000043,ENVO:00010483,cannabis,alias,Cannabis plant material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
canola oil,canola oil,canola oil,FOODON:03302578,FOODON:00002139,canola oil,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
caraway,caraway,caraway,FOODON:00003022,FOODON:03303380,caraway food product,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
carbonated beverage,soft drink,soft drink,FOODON:03310815,FOODON:00002339,soft drink,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
carrots,carrot,carrot,FOODON:00003408,FOODON:00001687,carrot root,alias,A primary root of a carrot plant (Daucus carota).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cayenne pepper,cayenne pepper,cayenne pepper,FOODON:00003798,FOODON:00001955,cayenne pepper,canonical,A berry fruit of a cayenne pepper plant cultivar.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cereals,cereal grain,cereal grain,FOODON:03301941,FOODON:00001093,cereal grain,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
cerebrospinal fluid,biological fluid,biological fluid,AMH:0000028,ENVO:02000020,biological fluid,alias,A water-based fluid derived from an organism and used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
cheese,cheese,cheese,FOODON:03000287,FOODON:00001013,cheese,canonical,A dairy product that is formed by coagulation of the milk protein casein.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
chicken fat,chicken fat,chicken fat,FOODON:03305091,FOODON:02020171,chicken fat,canonical,Fat derived from a chicken.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
chickpea,chickpea,chickpea,FOODON:03306811,FOODON:00001199,chickpea,canonical,A seed of a chickpea plant (Cicer arietinum).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
chili,chili,chili,FOODON:00003744,FOODON:00001956,chili pepper,canonical,A berry fruit of a chili pepper plant.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
chives,chives,chives,FOODON:03311167,FOODON:00003788,chive leaf (raw),canonical,A raw chive leaf,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
chocolate,chocolate,chocolate,FOODON:03307240,FOODON:00001280,chocolate,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
clean air,clean air,clean air,AMH:0000023,ENVO:00002005,clean air,canonical,Air described as clean or contaminant-free by the source method.,ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
coffee,coffee,coffee,FOODON:03301036,FOODON:00001244,coffee (liquid drink),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
coriander,coriander,coriander,FOODON:03310370,FOODON:00001763,coriander,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
corn,corn,corn,FOODON:00003562,FOODON:00001849,field corn kernel,canonical,A seed of a field corn plant (Zea mays).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
corn oil,corn oil,corn oil,AMH:0000011,AMH:0000006,corn oil,canonical,Corn oil used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
corn syrup,corn syrup,corn syrup,FOODON:03301061,FOODON:00001848,corn syrup,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
couscous,couscous,couscous,FOODON:00005532,FOODON:00001823,couscous,canonical,"A dish made from durum wheat semolina, which is moistened and rolled into small granules, then steamed or boiled.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
crops,food,food,AMH:0000032,ENVO:00010483,food,alias,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
crude oil,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
cucumbers,cucumber,cucumber,FOODON:00003415,FOODON:00001795,cucumber,alias,A pepo fruit of a cucumber plant (Cucumis sativus).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
curry paste,curry paste,curry paste,FOODON:03302920,FOODON:00002268,curry paste,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
custard,custard,custard,FOODON:03302946,FOODON:00001281,custard,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
deionised water,deionized water,deionized water,AMH:0000018,ENVO:00002006,deionized water,alias,Water from which ions have been removed.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
deionized water,deionized water,deionized water,AMH:0000018,ENVO:00002006,deionized water,canonical,Water from which ions have been removed.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
diesel,fuel,fuel,AMH:0000038,AMH:0000006,fuel,alias,A refined petroleum or biofuel liquid used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
diet,diet,diet,AMH:0000032,ENVO:00010483,food,canonical,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
diet soft drinks,soft drink,soft drink,FOODON:03310815,FOODON:00002339,soft drink,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
dill,dill,dill,FOODON:00001811,FOODON:00003042,dill food product,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
dimethyl sulfoxide,dmso,dmso,AMH:0000007,AMH:0000006,dmso,alias,Dimethyl sulfoxide used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
distilled water,distilled water,distilled water,AMH:0000017,ENVO:00002006,distilled water,canonical,Water purified by distillation.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
dmso,dmso,dmso,AMH:0000007,AMH:0000006,dmso,canonical,Dimethyl sulfoxide used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
drinking water,drinking water,drinking water,ENVO:00003064,ENVO:00002011,drinking water,canonical,Drinking water is water which may be consumed by humans with no adverse effects on their health.,ENVO:00003064,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
durum wheat,durum wheat,durum wheat,FOODON:00003416,FOODON:00001825,durum wheat kernel,canonical,A caryopsis fruit of a durum wheat plant (Triticum turgidum subsp. durum).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
dust,dust,dust,ENVO:00002008,ENVO:01000060,dust,canonical,Particulate environmental material with diameters less than 500 micrometers.,ENVO:00002008,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
edible oil,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
edible oils,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
effluent,effluent,effluent,ENVO:00002001,ENVO:00002186,waste water,canonical,Water that has been adversely affected in quality by anthropogenic influence.,ENVO:00002001,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
egg,eggs,eggs,FOODON:02020152,AMH:0000032,chicken egg (raw),alias,A raw chicken egg.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
eggs,eggs,eggs,FOODON:02020152,AMH:0000032,chicken egg (raw),canonical,A raw chicken egg.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
emulsion,emulsion,emulsion,AMH:0000016,AMH:0000006,emulsion,canonical,A liquid mixture in which droplets of one liquid are dispersed in another.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
essential oil,essential oil,essential oil,FOODON:03315026,FOODON:00002148,essential oil,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
essential oils,essential oil,essential oil,FOODON:03315026,FOODON:00002148,essential oil,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
ethanol,ethanol,ethanol,AMH:0000009,AMH:0000006,ethanol,canonical,Ethanol used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
extra virgin olive oil,extra virgin olive oil,extra virgin olive oil,FOODON:00002808,FOODON:03306633,olive oil (extra-virgin),canonical,"Extra virgin olive oil is a virgin olive oil which has a free acidity, expressed as oleic acid, of not more than 0.8 grams per 100 grams.",__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
fat,adipose tissue,adipose tissue,AMH:0000039,AMH:0000031,adipose tissue,alias,Fat tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fat tissue,adipose tissue,adipose tissue,AMH:0000039,AMH:0000031,adipose tissue,alias,Fat tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
feces,feces,feces,AMH:0000041,AMH:0000050,feces,canonical,Fecal material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
feed,feed,feed,AMH:0000032,ENVO:00010483,food,canonical,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fish,biota,biota,ENVO:06105012,AMH:0000050,biota,alias,"A collection of organisms which inhabits the same region, ecosystem, or time period.",ENVO:06105012,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fish tissue,tissue,tissue,AMH:0000031,AMH:0000050,tissue,alias,Animal or plant tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
flour,flour,flour,FOODON:00004510,FOODON:00001056,flour,canonical,A fine powder made from cereals or other starchy food sources.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
food,food,food,AMH:0000032,ENVO:00010483,food,canonical,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
foods,food,food,AMH:0000032,ENVO:00010483,food,alias,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fresh water,freshwater,freshwater,ENVO:00002011,ENVO:00002006,fresh water,alias,"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.",ENVO:00002011,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
freshwater,freshwater,freshwater,ENVO:00002011,ENVO:00002006,fresh water,canonical,"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.",ENVO:00002011,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
freshwater sediment,freshwater sediment,freshwater sediment,AMH:0000004,ENVO:00002007,freshwater sediment,canonical,Sediment collected from a freshwater environment.,ENVO:00002007,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fruit,fruits,fruits,FOODON:00002472,FOODON:00002457,fruit (fresh),alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
fruits,fruits,fruits,FOODON:00002472,FOODON:00002457,fruit (fresh),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
game meat,game meat,game meat,FOODON:00002956,FOODON:00002477,game meat,canonical,"Bushmeat, wildmeat, or game meat is meat from non-domesticated mammals, reptiles, amphibians and birds hunted for food in tropical forests.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
gasoline,gasoline,gasoline,AMH:0000014,AMH:0000006,gasoline,canonical,A petroleum-derived fuel used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
ghee,ghee,ghee,FOODON:03310185,FOODON:00005495,ghee,canonical,A type of clarified butter originating from the Indian subcontinent.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
gin,gin,gin,FOODON:03309491,FOODON:00001918,gin,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
ginger,ginger,ginger,FOODON:00001901,FOODON:03303380,ginger food product,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
ginseng,ginseng,ginseng,FOODON:03301402,FOODON:00001905,ginseng,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
grains,cereal grain,cereal grain,FOODON:03301941,FOODON:00001093,cereal grain,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
grape jelly,grape jelly,grape jelly,FOODON:03305954,FOODON:00001888,grape jelly,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
grape juice,grape juice,grape juice,FOODON:03301127,FOODON:00001926,grape juice,canonical,A fruit juice made from grapes.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
grapes,grape,grape,FOODON:00003417,FOODON:00001170,grape,alias,A berry fruit of a grape plant.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
green onions,green onions,green onions,FOODON:00003697,FOODON:03302008,scallion,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
green tea,tea,tea,FOODON:03315081,FOODON:00001138,tea food product,alias,"An aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the Camellia sinensis, an evergreen shrub (bush) native to East Asia.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
